level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
4476,2017-10-17,85.85,86.52,85.76,86.34,1294500,October,Tuesday,2017,NVS,-0.000347342827370628
4475,2017-10-16,86.35,86.87,86.19,86.37,857876,October,Monday,2017,NVS,0.002786485545106341
4474,2017-10-13,86.28,86.35,85.98,86.13,846361,October,Friday,2017,NVS,0.0016280962902663167
4473,2017-10-12,86.13,86.23,85.85,85.99,1229317,October,Thursday,2017,NVS,-0.004630165528417707
4472,2017-10-11,86.03,86.59,85.93,86.39,1619403,October,Wednesday,2017,NVS,0.007581059015628711
4471,2017-10-10,85.46,85.8,85.19,85.74,1351851,October,Tuesday,2017,NVS,0.003393797542422376
4470,2017-10-09,85.77,85.84,85.19,85.45,1084281,October,Monday,2017,NVS,-0.00373090824297532
4469,2017-10-06,85.4,85.99,85.39,85.77,818819,October,Friday,2017,NVS,0.0015179822512843937
4468,2017-10-05,85.48,85.77,85.28,85.64,1053370,October,Thursday,2017,NVS,-0.00499593354246535
4467,2017-10-04,86.24,86.54,85.85,86.07,1578649,October,Wednesday,2017,NVS,-0.006693594922100548
4466,2017-10-03,86.49,86.65,86.39,86.65,2600992,October,Tuesday,2017,NVS,0.0035904563354181404
4465,2017-10-02,86.36,86.67,86.11,86.34,2006213,October,Monday,2017,NVS,0.005707629586488168
4464,2017-09-29,85.33,85.91,85.04,85.85,1778684,September,Friday,2017,NVS,0.01297935103244831
4463,2017-09-28,85.01,85.12,84.7,84.75,1130181,September,Thursday,2017,NVS,0.002128414331323245
4462,2017-09-27,84.32,84.62,84.27,84.57,1617139,September,Wednesday,2017,NVS,-0.007860159549507294
4461,2017-09-26,85.68,85.94,84.96,85.24,1788753,September,Tuesday,2017,NVS,-0.011480923112605929
4460,2017-09-25,85.99,86.56,85.91,86.23,2222256,September,Monday,2017,NVS,0.0008124419684309122
4459,2017-09-22,86.25,86.34,85.85,86.16,2726428,September,Friday,2017,NVS,0.01436307982105014
4458,2017-09-21,85.41,85.56,84.9,84.94,1235460,September,Thursday,2017,NVS,-0.00979249242247614
4457,2017-09-20,86.21,86.41,85.07,85.78,2009254,September,Wednesday,2017,NVS,-0.0008153756552125008
4456,2017-09-19,85.64,85.95,85.51,85.85,1779692,September,Tuesday,2017,NVS,0.008694630478204617
4455,2017-09-18,85.77,85.77,84.92,85.11,860436,September,Monday,2017,NVS,-0.00549193736854404
