Date,Price,Open,High,Low,Vol.,Change %,Change
13-Oct-14,"1,874.74","1,905.65","1,912.09","1,874.14",0,-1.65,-0.016467922
10-Oct-14,"1,906.13","1,925.63","1,936.98","1,906.05",0,-1.15,-0.011451035
9-Oct-14,"1,928.21","1,967.68","1,967.68","1,927.56",0,-2.07,-0.020661388
8-Oct-14,"1,968.89","1,935.55","1,970.36","1,925.25",0,1.75,0.01746163
7-Oct-14,"1,935.10","1,962.36","1,962.36","1,934.87",0,-1.51,-0.015126068
6-Oct-14,"1,964.82","1,970.01","1,977.84","1,958.43",0,-0.16,-0.00156512
3-Oct-14,"1,967.90","1,948.12","1,971.19","1,948.12",0,1.12,0.01116552
2-Oct-14,"1,946.17","1,945.83","1,952.32","1,926.03",0,0,5.13832E-06
1-Oct-14,"1,946.16","1,971.44","1,971.44","1,941.72",0,-1.32,-0.013248559
30-Sep-14,"1,972.29","1,978.21","1,985.17","1,968.96",0,-0.28,-0.002785924
29-Sep-14,"1,977.80","1,978.96","1,981.28","1,964.04",0,-0.25,-0.002546839
26-Sep-14,"1,982.85","1,966.22","1,986.37","1,966.22",0,0.86,0.008575832
25-Sep-14,"1,965.99","1,997.32","1,997.32","1,965.99",0,-1.62,-0.016168743
24-Sep-14,"1,998.30","1,983.34","1,999.79","1,978.63",0,0.78,0.007832477
23-Sep-14,"1,982.77","1,992.78","1,995.41","1,982.77",0,-0.58,-0.005776492
22-Sep-14,"1,994.29","2,009.08","2,009.08","1,991.01",0,-0.8,-0.008013331
19-Sep-14,"2,010.40","2,012.74","2,019.26","2,006.59",0,-0.05,-0.000477289
18-Sep-14,"2,011.36","2,003.07","2,012.34","2,003.07",0,0.49,0.00489116
17-Sep-14,"2,001.57","1,999.30","2,010.74","1,993.29",0,0.13,0.001295661
16-Sep-14,"1,998.98","1,981.93","2,002.28","1,979.06",0,0.75,0.007484389
15-Sep-14,"1,984.13","1,986.04","1,987.18","1,978.48",0,-0.07,-0.000710134
12-Sep-14,"1,985.54","1,996.74","1,996.74","1,980.26",0,-0.6,-0.005962602
11-Sep-14,"1,997.45","1,992.85","1,997.65","1,985.93",0,0.09,0.0008819
10-Sep-14,"1,995.69","1,988.41","1,996.66","1,982.99",0,0.36,0.003646074
9-Sep-14,"1,988.44","2,000.73","2,001.01","1,984.61",0,-0.65,-0.00654496
8-Sep-14,"2,001.54","2,007.17","2,007.17","1,995.60",0,-0.31,-0.003073153
5-Sep-14,"2,007.71","1,998.00","2,007.71","1,990.10",0,0.5,0.005035917
4-Sep-14,"1,997.65","2,001.67","2,011.17","1,992.54",0,-0.15,-0.001534448
3-Sep-14,"2,000.72","2,003.57","2,009.28","1,998.14",0,-0.08,-0.000779112
2-Sep-14,"2,002.28","2,004.07","2,006.12","1,994.85",0,-0.05,-0.000544083
29-Aug-14,"2,003.37","1,998.45","2,003.38","1,994.65",0,0.33,0.003320412
28-Aug-14,"1,996.74","1,997.42","1,998.55","1,990.52",0,-0.17,-0.001689899
27-Aug-14,"2,000.12","2,000.54","2,002.14","1,996.20",0,0,4.99995E-05
26-Aug-14,"2,000.02","1,998.59","2,005.04","1,998.59",0,0.11,0.001051093
25-Aug-14,"1,997.92","1,991.74","2,001.95","1,991.74",0,0.48,0.004787769
22-Aug-14,"1,988.40","1,992.60","1,993.54","1,984.76",0,-0.2,-0.001992602
21-Aug-14,"1,992.37","1,986.82","1,994.76","1,986.82",0,0.29,0.002949897
20-Aug-14,"1,986.51","1,980.46","1,988.57","1,977.68",0,0.25,0.002477796
19-Aug-14,"1,981.60","1,972.73","1,982.57","1,972.73",0,0.5,0.005000659
18-Aug-14,"1,971.74","1,958.36","1,971.99","1,958.36",0,0.85,0.008531707
15-Aug-14,"1,955.06","1,958.87","1,964.04","1,941.50",0,-0.01,-6.13754E-05
14-Aug-14,"1,955.18","1,947.41","1,955.23","1,947.41",0,0.43,0.004345771
13-Aug-14,"1,946.72","1,935.60","1,948.41","1,935.60",0,0.67,0.006707175
12-Aug-14,"1,933.75","1,935.73","1,939.65","1,928.29",0,-0.16,-0.001636619
11-Aug-14,"1,936.92","1,933.43","1,944.90","1,933.43",0,0.28,0.002759385
8-Aug-14,"1,931.59","1,910.35","1,932.38","1,909.01",0,1.15,0.011531392
7-Aug-14,"1,909.57","1,923.03","1,928.89","1,904.78",0,-0.56,-0.005556597
6-Aug-14,"1,920.24","1,917.29","1,927.91","1,911.45",0,0,1.56233E-05
5-Aug-14,"1,920.21","1,936.34","1,936.34","1,913.77",0,-0.97,-0.009685455
4-Aug-14,"1,938.99","1,926.62","1,942.92","1,921.20",0,0.72,0.00718905
1-Aug-14,"1,925.15","1,929.80","1,937.35","1,916.37",0,-0.29,-0.002859111
31-Jul-14,"1,930.67","1,965.14","1,965.14","1,930.67",0,-2,-0.019999289
30-Jul-14,"1,970.07","1,973.21","1,978.90","1,962.42",0,0.01,6.09153E-05
29-Jul-14,"1,969.95","1,980.03","1,984.85","1,969.95",0,-0.45,-0.004527745
28-Jul-14,"1,978.91","1,978.25","1,981.52","1,967.31",0,0.03,0.00028812
25-Jul-14,"1,978.34","1,984.60","1,984.60","1,974.37",0,-0.48,-0.004849143
24-Jul-14,"1,987.98","1,988.07","1,991.39","1,985.79",0,0.05,0.000488171
23-Jul-14,"1,987.01","1,985.32","1,989.23","1,982.44",0,0.18,0.001754448
22-Jul-14,"1,983.53","1,975.65","1,986.24","1,975.65",0,0.5,0.005016138
21-Jul-14,"1,973.63","1,976.93","1,976.93","1,965.77",0,-0.23,-0.002320268
18-Jul-14,"1,978.22","1,961.54","1,979.91","1,960.82",0,1.03,0.010264948
17-Jul-14,"1,958.12","1,979.75","1,981.80","1,955.59",0,-1.18,-0.011834051
16-Jul-14,"1,981.57","1,976.35","1,983.94","1,975.67",0,0.42,0.004201127
15-Jul-14,"1,973.28","1,977.36","1,982.52","1,965.34",0,-0.19,-0.001932123
14-Jul-14,"1,977.10","1,969.86","1,979.85","1,969.86",0,0.48,0.004843538
11-Jul-14,"1,967.57","1,965.76","1,968.67","1,959.63",0,0.15,0.001470977
10-Jul-14,"1,964.68","1,966.67","1,969.84","1,952.86",0,-0.41,-0.004131121
9-Jul-14,"1,972.83","1,965.10","1,974.15","1,965.10",0,0.46,0.00464427
8-Jul-14,"1,963.71","1,976.39","1,976.39","1,959.46",0,-0.7,-0.00704877
7-Jul-14,"1,977.65","1,984.22","1,984.22","1,974.88",0,-0.39,-0.003923564
3-Jul-14,"1,985.44","1,975.88","1,985.59","1,975.88",0,0.55,0.005479535
2-Jul-14,"1,974.62","1,973.06","1,976.67","1,972.58",0,0.07,0.000658788
1-Jul-14,"1,973.32","1,962.29","1,978.58","1,962.29",0,0.67,0.006677788
30-Jun-14,"1,960.23","1,960.79","1,964.24","1,958.22",0,-0.04,-0.000372267
27-Jun-14,"1,960.96","1,956.56","1,961.47","1,952.18",0,0.19,0.001910874
26-Jun-14,"1,957.22","1,959.89","1,959.89","1,944.69",0,-0.12,-0.001178854
25-Jun-14,"1,959.53","1,949.27","1,960.83","1,947.49",0,0.49,0.004897486
24-Jun-14,"1,949.98","1,961.97","1,968.17","1,948.34",0,-0.64,-0.006435308
23-Jun-14,"1,962.61","1,962.92","1,963.74","1,958.89",0,-0.01,-0.000132459
20-Jun-14,"1,962.87","1,960.45","1,963.91","1,959.17",0,0.17,0.001730051
19-Jun-14,"1,959.48","1,957.50","1,959.87","1,952.26",0,0.13,0.001277479
18-Jun-14,"1,956.98","1,942.73","1,957.74","1,939.29",0,0.77,0.007718886
17-Jun-14,"1,941.99","1,937.15","1,943.69","1,933.55",0,0.22,0.002172589
16-Jun-14,"1,937.78","1,934.84","1,941.15","1,930.91",0,0.08,0.000836708
13-Jun-14,"1,936.16","1,930.80","1,937.30","1,927.69",0,0.31,0.003134536
12-Jun-14,"1,930.11","1,943.35","1,943.35","1,925.78",0,-0.71,-0.007088878
11-Jun-14,"1,943.89","1,949.37","1,949.37","1,940.08",0,-0.35,-0.003537029
10-Jun-14,"1,950.79","1,950.34","1,950.86","1,944.64",0,-0.02,-0.000245994
9-Jun-14,"1,951.27","1,948.97","1,955.55","1,947.16",0,0.09,0.000938731
6-Jun-14,"1,949.44","1,942.41","1,949.44","1,942.41",0,0.46,0.004627769
5-Jun-14,"1,940.46","1,928.52","1,941.74","1,922.93",0,0.65,0.006525302
4-Jun-14,"1,927.88","1,923.06","1,928.63","1,918.60",0,0.19,0.001891656
3-Jun-14,"1,924.24","1,923.07","1,925.07","1,918.79",0,-0.04,-0.000379227
2-Jun-14,"1,924.97","1,923.87","1,925.88","1,915.98",0,0.07,0.000727813
30-May-14,"1,923.57","1,920.33","1,924.03","1,916.64",0,0.18,0.001843721
29-May-14,"1,920.03","1,910.60","1,920.03","1,909.82",0,0.54,0.00536711
28-May-14,"1,909.78","1,911.77","1,914.46","1,907.30",0,-0.11,-0.001114069
27-May-14,"1,911.91","1,902.01","1,912.28","1,902.01",0,0.6,0.005987803
23-May-14,"1,900.53","1,893.32","1,901.26","1,893.32",0,0.42,0.004248371
