,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
422,430,2016-04-28,102.1700,103.15,102.16,102.9700,4350143,April,Thursday,2016,PEP,0.007830087109719068,4,4,0.009690681284260073
423,431,2016-04-27,102.7200,103.36,101.91,102.6300,3730939,April,Wednesday,2016,PEP,-0.0008761682242990986,3,4,0.014228240604454939
424,432,2016-04-26,103.2000,103.4,102.19,102.6000,3223411,April,Tuesday,2016,PEP,-0.005813953488372175,2,4,0.01184068891280955
425,433,2016-04-25,101.8000,102.8301,101.61,102.8000,3501259,April,Monday,2016,PEP,0.009823182711198428,1,4,0.012007676409802206
426,434,2016-04-22,101.1700,102.06,100.94,101.9800,5660160,April,Friday,2016,PEP,0.00800632598596424,5,4,0.011095700416088811
427,435,2016-04-21,102.3400,102.34,100.42,100.9900,7145583,April,Thursday,2016,PEP,-0.013191323040844328,4,4,0.019119697271459884
428,436,2016-04-20,104.2300,104.35,102.39,102.4400,4777403,April,Wednesday,2016,PEP,-0.01717355847644638,3,4,0.019142494384217147
429,437,2016-04-19,103.8100,104.61,103.76,104.3200,4995725,April,Tuesday,2016,PEP,0.004912821500818716,2,4,0.00819198149575939
430,438,2016-04-18,104.1600,104.59,103.5,103.7200,7736904,April,Monday,2016,PEP,-0.00422427035330259,1,4,0.010531400966183609
431,439,2016-04-15,103.2400,103.81,103.01,103.7700,4551302,April,Friday,2016,PEP,0.005133669120495943,5,4,0.007766236287739026
432,440,2016-04-14,102.7300,104.088,102.71,103.1600,5593254,April,Thursday,2016,PEP,0.004185729582400395,4,4,0.01341641514944991
433,441,2016-04-13,105.3400,105.35,103.76,104.1200,3802372,April,Wednesday,2016,PEP,-0.01158154547180557,3,4,0.015323824209714622
434,442,2016-04-12,104.1700,105.12,104.12,104.9100,3763952,April,Tuesday,2016,PEP,0.007103772679274214,2,4,0.009604302727621973
435,443,2016-04-11,105.1600,105.77,104.16,104.3000,5354020,April,Monday,2016,PEP,-0.008178014454165076,1,4,0.015456989247311823
436,444,2016-04-08,103.9900,105.25,103.9,105.0800,6154498,April,Friday,2016,PEP,0.010481777093951376,5,4,0.01299326275264672
437,445,2016-04-07,103.3400,103.97,103.03,103.6000,6220933,April,Thursday,2016,PEP,0.0025159667118249554,4,4,0.009123556245753641
438,446,2016-04-06,103.2500,103.99,102.87,103.9200,4196734,April,Wednesday,2016,PEP,0.006489104116222777,3,4,0.010887527947895308
439,447,2016-04-05,103.7700,103.93,102.87,103.1000,3589151,April,Tuesday,2016,PEP,-0.006456586682085398,2,4,0.010304267522115313
440,448,2016-04-04,103.8000,103.95,102.77,103.8200,4220449,April,Monday,2016,PEP,0.00019267822736026996,1,4,0.011481949985404367
441,449,2016-04-01,101.9700,103.89,101.945,103.7800,4128615,April,Friday,2016,PEP,0.01775031872119253,5,4,0.019078915101280177
442,450,2016-03-31,102.5400,103.45,102.3,102.4800,5367722,March,Thursday,2016,PEP,-0.000585137507314241,4,3,0.011241446725317749
443,451,2016-03-30,101.4600,102.89,101.41,102.6900,4673591,March,Wednesday,2016,PEP,0.012123004139562429,3,3,0.014594221477171916
444,452,2016-03-29,101.0500,101.64,100.76,101.3700,3356706,March,Tuesday,2016,PEP,0.0031667491340921067,2,3,0.008733624454148426
445,453,2016-03-28,100.9600,101.61,100.82,100.9800,3785466,March,Monday,2016,PEP,0.00019809825673544208,1,3,0.007835746875619979
446,454,2016-03-24,100.7000,100.92,100.15,100.6800,3182994,March,Thursday,2016,PEP,-0.00019860973187682245,4,3,0.007688467299051383
447,455,2016-03-23,100.6900,101.7626,100.53,100.8100,3407894,March,Wednesday,2016,PEP,0.00119177674049066,3,3,0.01226101661195668
448,456,2016-03-22,101.2800,101.51,100.43,100.7700,3457648,March,Tuesday,2016,PEP,-0.005035545023696733,2,3,0.010753758837000879
449,457,2016-03-21,100.9100,102.12,100.32,101.5400,4420266,March,Monday,2016,PEP,0.006243186998315426,1,3,0.01794258373205753
450,458,2016-03-18,101.6700,101.94,101.01,101.2900,7273925,March,Friday,2016,PEP,-0.003737582374348337,5,3,0.009207009207009134
451,459,2016-03-17,101.0000,102.12,100.79,101.8700,5635784,March,Thursday,2016,PEP,0.00861386138613866,4,3,0.013195753546978849
452,460,2016-03-16,100.9400,101.34,100.01,100.8300,4176615,March,Wednesday,2016,PEP,-0.0010897562908658554,3,3,0.013298670132986684
